x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-08--00:53:48,NaN,12.5,11.6,9.2,0.3,6549.3
2019-01-08--00:57:24,NaN,12.5,11.6,9.2,0.4,6549.3
2019-01-08--01:01:00,NaN,12.5,11.6,9.2,0.4,6549.3
2019-01-08--01:04:36,NaN,12.5,11.6,9.2,0.4,6549.3
2019-01-08--01:08:12,NaN,12.5,11.6,9.2,0.4,6549.3
2019-01-08--01:11:48,NaN,12.5,11.6,9.2,0.4,6549.3
2019-01-08--01:15:24,NaN,12.6,11.7,9.3,0.5,6549.3
2019-01-08--01:19:00,NaN,12.6,11.7,9.3,0.5,6549.3
2019-01-08--01:22:36,NaN,12.6,11.7,9.3,0.5,6549.3
2019-01-08--01:26:12,NaN,12.6,11.7,9.3,0.5,6549.3
2019-01-08--01:29:48,NaN,12.6,11.7,9.3,0.5,6549.3
2019-01-08--01:33:24,NaN,12.6,11.7,9.3,0.5,6549.4
2019-01-08--01:37:00,NaN,12.6,11.7,9.3,0.5,6549.4
2019-01-08--01:40:36,NaN,12.6,11.7,9.3,0.5,6549.4
2019-01-08--01:44:12,NaN,12.6,11.7,9.3,0.5,6549.4
2019-01-08--01:47:48,NaN,12.6,11.7,9.3,0.5,6549.4
2019-01-08--01:51:24,NaN,12.6,11.7,9.3,0.5,6549.4
2019-01-08--01:55:00,NaN,12.6,11.7,9.3,0.5,6549.4
2019-01-08--01:58:36,NaN,12.6,11.7,9.3,0.5,6549.4
2019-01-08--02:02:12,NaN,12.5,11.7,9.3,0.6,6549.4
2019-01-08--02:05:48,NaN,12.5,11.7,9.3,0.6,6549.4
2019-01-08--02:09:24,NaN,12.5,11.7,9.3,0.6,6549.4
2019-01-08--02:13:00,NaN,12.5,11.7,9.3,0.6,6549.4
2019-01-08--02:16:36,NaN,12.6,11.7,9.3,0.6,6549.4
2019-01-08--02:20:12,NaN,12.6,11.7,9.3,0.6,6549.4
2019-01-08--02:23:48,NaN,12.6,11.7,9.3,0.6,6549.4
2019-01-08--02:27:24,NaN,12.6,11.7,9.3,0.6,6549.4
2019-01-08--02:31:00,NaN,12.6,11.7,9.4,0.7,6549.3
2019-01-08--02:34:36,NaN,12.6,11.7,9.4,0.7,6549.3
2019-01-08--02:38:12,NaN,12.6,11.7,9.4,0.7,6549.3
2019-01-08--02:41:48,NaN,12.6,11.7,9.4,0.7,6549.3
2019-01-08--02:45:24,NaN,12.6,11.7,9.4,0.7,6549.3
2019-01-08--02:49:00,NaN,12.6,11.7,9.4,0.7,6549.3
2019-01-08--02:52:36,NaN,12.6,11.7,9.4,0.7,6549.3
2019-01-08--02:56:12,NaN,12.6,11.7,9.4,0.7,6549.3
2019-01-08--02:59:48,NaN,12.6,11.7,9.4,0.7,6549.3
2019-01-08--03:03:24,NaN,12.5,11.7,9.4,0.7,6549.3
2019-01-08--03:07:00,NaN,12.5,11.7,9.4,0.7,6549.3
2019-01-08--03:10:36,NaN,12.5,11.7,9.4,0.7,6549.3
2019-01-08--03:14:12,NaN,12.5,11.7,9.4,0.7,6549.3
2019-01-08--03:17:48,NaN,12.5,11.7,9.4,0.7,6549.3
2019-01-08--03:21:24,NaN,12.5,11.7,9.4,0.7,6549.3
2019-01-08--03:25:00,NaN,12.5,11.7,9.4,0.7,6549.3
2019-01-08--03:28:36,NaN,12.5,11.7,9.4,0.7,6549.3
2019-01-08--03:32:12,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--03:35:48,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--03:39:24,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--03:43:00,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--03:46:36,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--03:50:12,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--03:53:48,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--03:57:24,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:01:00,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:04:36,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:08:12,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:11:48,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:15:24,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:19:00,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:22:36,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:26:12,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:29:48,NaN,12.5,11.7,9.4,0.8,6549.2
2019-01-08--04:33:24,NaN,12.5,11.7,9.4,0.8,6549.1
2019-01-08--04:37:00,NaN,12.5,11.7,9.4,0.8,6549.1
2019-01-08--04:40:36,NaN,12.5,11.7,9.4,0.8,6549.1
2019-01-08--04:44:12,NaN,12.5,11.7,9.4,0.8,6549.1
2019-01-08--04:47:48,NaN,12.5,11.7,9.4,0.8,6549.1
2019-01-08--04:51:24,NaN,12.5,11.7,9.4,0.8,6549.1
2019-01-08--04:55:00,NaN,12.5,11.7,9.4,0.8,6549.1
2019-01-08--04:58:36,NaN,12.5,11.7,9.4,0.8,6549.1
2019-01-08--05:02:12,NaN,12.5,11.7,9.4,0.9,6549.1
2019-01-08--05:05:48,NaN,12.5,11.7,9.4,0.9,6549.1
2019-01-08--05:09:24,NaN,12.5,11.7,9.4,0.9,6549.1
2019-01-08--05:13:00,NaN,12.5,11.7,9.4,0.9,6549.1
2019-01-08--05:16:36,NaN,12.5,11.7,9.4,0.9,6549.1
2019-01-08--05:20:12,NaN,12.5,11.7,9.4,0.9,6549.1
2019-01-08--05:23:48,NaN,12.5,11.7,9.4,0.9,6549.1
2019-01-08--05:27:24,NaN,12.5,11.7,9.4,0.9,6549.1
2019-01-08--05:31:00,NaN,12.5,11.7,9.4,0.9,6549.0
2019-01-08--05:34:36,NaN,12.5,11.7,9.4,0.9,6549.0
2019-01-08--05:38:12,NaN,12.5,11.7,9.4,0.9,6549.0
2019-01-08--05:41:48,NaN,12.5,11.7,9.4,0.9,6549.0
2019-01-08--05:45:24,NaN,12.5,11.7,9.5,0.9,6549.0
2019-01-08--05:49:00,NaN,12.5,11.7,9.5,0.9,6549.0
2019-01-08--05:52:36,NaN,12.5,11.7,9.5,0.9,6549.0
2019-01-08--05:56:12,NaN,12.5,11.7,9.5,0.9,6549.0
2019-01-08--05:59:48,NaN,12.5,11.7,9.5,0.9,6549.0
2019-01-08--06:03:24,NaN,12.5,11.7,9.4,0.9,6549.0
2019-01-08--06:07:00,NaN,12.5,11.7,9.4,0.9,6549.0
2019-01-08--06:10:36,NaN,12.5,11.7,9.4,0.9,6549.0
2019-01-08--06:14:12,NaN,12.5,11.7,9.4,0.9,6549.0
2019-01-08--06:17:48,NaN,12.5,11.7,9.5,0.9,6548.9
2019-01-08--06:21:24,NaN,12.5,11.7,9.5,0.9,6548.9
2019-01-08--06:25:00,NaN,12.5,11.7,9.5,0.9,6548.9
2019-01-08--06:28:36,NaN,12.5,11.7,9.5,0.9,6548.9
2019-01-08--06:32:12,NaN,12.5,11.7,9.5,0.9,6548.9
2019-01-08--06:35:48,NaN,12.5,11.7,9.5,0.9,6548.9
2019-01-08--06:39:24,NaN,12.5,11.7,9.5,0.9,6548.9
2019-01-08--06:43:00,NaN,12.5,11.7,9.5,0.9,6548.9
2019-01-08--06:46:36,NaN,12.4,11.6,9.5,0.9,6548.9
2019-01-08--06:50:12,NaN,12.4,11.6,9.5,0.9,6548.9
2019-01-08--06:53:48,NaN,12.4,11.6,9.5,0.9,6548.9
2019-01-08--06:57:24,NaN,12.4,11.6,9.5,0.9,6548.9
2019-01-08--07:01:00,NaN,12.3,11.6,9.5,0.9,6548.8
2019-01-08--07:04:36,NaN,12.3,11.6,9.5,0.9,6548.8
2019-01-08--07:08:12,NaN,12.3,11.6,9.5,0.9,6548.8
2019-01-08--07:11:48,NaN,12.3,11.6,9.5,0.9,6548.8
2019-01-08--07:15:24,NaN,12.2,11.5,9.5,0.9,6548.8
2019-01-08--07:19:00,NaN,12.2,11.5,9.5,0.9,6548.8
2019-01-08--07:22:36,NaN,12.2,11.5,9.5,0.9,6548.8
2019-01-08--07:26:12,NaN,12.2,11.5,9.5,0.9,6548.8
2019-01-08--07:29:48,NaN,12.2,11.5,9.5,0.9,6548.8
2019-01-08--07:33:24,NaN,12.1,11.4,9.5,0.9,6548.8
2019-01-08--07:37:00,NaN,12.1,11.4,9.5,0.9,6548.8
2019-01-08--07:40:36,NaN,12.1,11.4,9.5,0.9,6548.8
2019-01-08--07:44:12,NaN,12.1,11.4,9.5,0.9,6548.8
2019-01-08--07:47:48,NaN,12.0,11.4,9.4,0.9,6548.8
2019-01-08--07:51:24,NaN,12.0,11.4,9.4,0.9,6548.8
2019-01-08--07:55:00,NaN,12.0,11.4,9.4,0.9,6548.8
2019-01-08--07:58:36,NaN,12.0,11.4,9.4,0.9,6548.8
2019-01-08--08:02:12,NaN,12.0,11.4,9.4,0.9,6548.8
2019-01-08--08:05:48,NaN,12.0,11.4,9.4,0.9,6548.8
2019-01-08--08:09:24,NaN,12.0,11.4,9.4,0.9,6548.8
2019-01-08--08:13:00,NaN,12.0,11.4,9.4,0.9,6548.8
2019-01-08--08:16:36,NaN,11.9,11.3,9.4,0.9,6548.8
2019-01-08--08:20:12,NaN,11.9,11.3,9.4,0.9,6548.8
2019-01-08--08:23:48,NaN,11.9,11.3,9.4,0.9,6548.8
2019-01-08--08:27:24,NaN,11.9,11.3,9.4,0.9,6548.8
2019-01-08--08:31:00,NaN,11.9,11.3,9.4,0.9,6548.9
2019-01-08--08:34:36,NaN,11.9,11.3,9.4,0.9,6548.9
2019-01-08--08:38:12,NaN,11.9,11.3,9.4,0.9,6548.9
2019-01-08--08:41:48,NaN,11.9,11.3,9.4,0.9,6548.9
2019-01-08--08:45:24,NaN,11.8,11.2,9.3,0.9,6549.0
2019-01-08--08:49:00,NaN,11.8,11.2,9.3,0.9,6549.0
2019-01-08--08:52:36,NaN,11.8,11.2,9.3,0.9,6549.0
2019-01-08--08:56:12,NaN,11.8,11.2,9.3,0.9,6549.0
2019-01-08--08:59:48,NaN,11.8,11.2,9.3,0.9,6549.0
2019-01-08--09:03:24,NaN,11.8,11.2,9.3,0.9,6549.1
2019-01-08--09:07:00,NaN,11.8,11.2,9.3,0.9,6549.1
2019-01-08--09:10:36,NaN,11.8,11.2,9.3,0.9,6549.1
2019-01-08--09:14:12,NaN,11.8,11.2,9.3,0.9,6549.1
2019-01-08--09:17:48,NaN,11.8,11.2,9.3,0.9,6549.1
2019-01-08--09:21:24,NaN,11.8,11.2,9.3,0.9,6549.1
2019-01-08--09:25:00,NaN,11.8,11.2,9.3,0.9,6549.1
2019-01-08--09:28:36,NaN,11.8,11.2,9.3,0.9,6549.1
2019-01-08--09:32:12,NaN,11.7,11.1,9.3,0.9,6549.2
2019-01-08--09:35:48,NaN,11.7,11.1,9.3,0.9,6549.2
2019-01-08--09:39:24,NaN,11.7,11.1,9.3,0.9,6549.2
2019-01-08--09:43:00,NaN,11.7,11.1,9.3,0.9,6549.2
2019-01-08--09:46:36,NaN,11.7,11.1,9.3,0.9,6549.3
2019-01-08--09:50:12,NaN,11.7,11.1,9.3,0.9,6549.3
2019-01-08--09:53:48,NaN,11.7,11.1,9.3,0.9,6549.3
2019-01-08--09:57:24,NaN,11.7,11.1,9.3,0.9,6549.3
2019-01-08--10:01:00,NaN,11.7,11.1,9.3,0.9,6549.4
2019-01-08--10:04:36,NaN,11.7,11.1,9.3,0.9,6549.4
2019-01-08--10:08:12,NaN,11.7,11.1,9.3,0.9,6549.4
2019-01-08--10:11:48,NaN,11.7,11.1,9.3,0.9,6549.4
2019-01-08--10:15:24,NaN,11.7,11.1,9.3,0.9,6549.4
2019-01-08--10:19:00,NaN,11.8,11.1,9.3,0.9,6549.5
2019-01-08--10:22:36,NaN,11.8,11.1,9.3,0.9,6549.5
2019-01-08--10:26:12,NaN,11.8,11.1,9.3,0.9,6549.5
2019-01-08--10:29:48,NaN,11.8,11.1,9.3,0.9,6549.5
2019-01-08--10:33:24,NaN,11.9,11.2,9.3,0.9,6549.6
2019-01-08--10:37:00,NaN,11.9,11.2,9.3,0.9,6549.6
2019-01-08--10:40:36,NaN,11.9,11.2,9.3,0.9,6549.6
2019-01-08--10:44:12,NaN,11.9,11.2,9.3,0.9,6549.6
2019-01-08--10:47:48,NaN,11.9,11.2,9.3,0.9,6549.7
2019-01-08--10:51:24,NaN,11.9,11.2,9.3,0.9,6549.7
2019-01-08--10:55:00,NaN,11.9,11.2,9.3,0.9,6549.7
2019-01-08--10:58:36,NaN,11.9,11.2,9.3,0.9,6549.7
2019-01-08--11:02:12,NaN,11.9,11.2,9.3,0.9,6549.8
2019-01-08--11:05:48,NaN,11.9,11.2,9.3,0.9,6549.8
2019-01-08--11:09:24,NaN,11.9,11.2,9.3,0.9,6549.8
2019-01-08--11:13:00,NaN,11.9,11.2,9.3,0.9,6549.8
2019-01-08--11:16:36,NaN,11.9,11.2,9.3,0.9,6549.9
2019-01-08--11:20:12,NaN,11.9,11.2,9.3,0.9,6549.9
2019-01-08--11:23:48,NaN,11.9,11.2,9.3,0.9,6549.9
2019-01-08--11:27:24,NaN,11.9,11.2,9.3,0.9,6549.9
2019-01-08--11:31:00,NaN,11.8,11.1,9.2,1.0,6550.1
2019-01-08--11:34:36,NaN,11.8,11.1,9.2,1.0,6550.1
2019-01-08--11:38:12,NaN,11.8,11.1,9.2,1.0,6550.1
2019-01-08--11:41:48,NaN,11.8,11.1,9.2,1.0,6550.1
2019-01-08--11:45:24,NaN,11.8,11.1,9.2,1.0,6550.1
2019-01-08--11:49:00,NaN,11.8,11.1,9.2,1.0,6550.1
2019-01-08--11:52:36,NaN,11.8,11.1,9.2,1.0,6550.1
2019-01-08--11:56:12,NaN,11.8,11.1,9.2,1.0,6550.1
2019-01-08--11:59:48,NaN,11.8,11.1,9.2,1.0,6550.1
2019-01-08--12:03:24,NaN,11.9,11.1,9.2,1.0,6550.2
2019-01-08--12:07:00,NaN,11.9,11.1,9.2,1.0,6550.2
2019-01-08--12:10:36,NaN,11.9,11.1,9.2,1.0,6550.2
2019-01-08--12:14:12,NaN,11.9,11.1,9.2,1.0,6550.2
2019-01-08--12:17:48,NaN,11.9,11.2,9.2,1.0,6550.3
2019-01-08--12:21:24,NaN,11.9,11.2,9.2,1.0,6550.3
2019-01-08--12:25:00,NaN,11.9,11.2,9.2,1.0,6550.3
2019-01-08--12:28:36,NaN,11.9,11.2,9.2,1.0,6550.3
2019-01-08--12:32:12,NaN,12.1,11.3,9.2,1.1,6550.3
2019-01-08--12:35:48,NaN,12.1,11.3,9.2,1.1,6550.3
2019-01-08--12:39:24,NaN,12.1,11.3,9.2,1.1,6550.3
2019-01-08--12:43:00,NaN,12.1,11.3,9.2,1.1,6550.3
2019-01-08--12:46:36,NaN,12.2,11.4,9.3,1.1,6550.4
2019-01-08--12:50:12,NaN,12.2,11.4,9.3,1.1,6550.4
2019-01-08--12:53:48,NaN,12.2,11.4,9.3,1.1,6550.4
